,Donald Trump,Kamala Harris,Beto O'Rourke,Bernie Sanders,Joe Biden
2019-03-14 13:00:05.009169,2.55,6.0,10.0,7.0,7.5
2019-03-14 14:00:05.607461,2.55,6.0,10.0,7.0,7.5
2019-03-14 15:00:06.178186,2.55,6.0,10.0,7.0,7.5
2019-03-14 16:00:05.543794,2.55,6.0,10.0,7.0,7.5
2019-03-14 17:00:05.838625,2.55,6.0,10.0,7.0,7.5
2019-03-14 18:00:05.130013,2.55,6.0,10.0,7.0,7.5
2019-03-14 19:00:05.781379,2.55,6.0,10.0,7.0,7.5
2019-03-14 20:00:05.200184,2.55,6.0,10.0,7.0,7.5
2019-03-14 21:00:05.821402,2.55,6.0,10.0,7.0,7.5
2019-03-14 22:00:05.807120,2.55,6.0,10.0,7.0,7.5
2019-03-14 23:00:05.126682,2.55,6.0,10.0,7.0,7.5
2019-03-15 00:00:06.140112,2.55,6.0,10.0,7.0,7.5
2019-03-15 01:00:05.544384,2.55,6.0,8.0,7.0,7.5
2019-03-15 02:00:06.033898,2.55,6.0,8.0,7.0,7.5
2019-03-15 03:00:05.429094,2.55,6.0,8.0,7.0,7.5
2019-03-15 04:00:05.803877,2.55,6.0,8.0,7.0,7.5
2019-03-15 05:00:05.072841,2.55,6.0,8.0,7.0,7.5
2019-03-15 06:00:05.712527,2.55,6.0,8.0,7.0,7.5
2019-03-15 07:00:06.109599,2.55,6.0,8.0,7.0,7.5
2019-03-15 08:00:05.400461,2.55,6.0,8.0,7.0,7.5
2019-03-15 09:00:05.858389,2.55,6.0,8.0,7.0,7.5
2019-03-15 10:00:05.408337,2.55,6.0,8.0,7.0,7.5
2019-03-15 11:00:05.769508,2.55,6.0,8.0,7.0,7.5
2019-03-15 12:00:05.292623,2.55,6.0,8.0,7.0,7.5
2019-03-15 13:00:05.599491,2.55,6.0,8.0,7.0,7.5
2019-03-15 14:00:05.960151,2.55,6.0,8.0,7.0,7.5
2019-03-15 15:00:05.678536,2.55,6.0,8.0,7.0,7.5
2019-03-15 16:00:04.997028,2.55,6.0,8.0,7.0,7.5
2019-03-15 17:00:05.333311,2.55,6.0,8.0,7.0,7.5
2019-03-15 18:00:05.523908,2.55,6.0,8.0,7.0,7.5
2019-03-15 19:00:06.544024,2.55,6.0,8.0,7.0,7.5
2019-03-15 20:00:05.933454,2.55,6.0,8.0,7.0,7.5
2019-03-15 21:00:06.131555,2.55,6.0,8.0,7.0,7.5
2019-03-15 22:00:05.513368,2.55,6.0,8.0,7.0,7.5
2019-03-15 23:00:05.909856,2.55,6.0,8.0,7.0,7.5
2019-03-16 00:00:05.197087,2.55,6.0,8.0,7.0,7.5
2019-03-16 01:00:05.519493,2.55,6.0,8.0,7.0,7.5
2019-03-16 02:00:06.073725,2.55,6.0,8.0,7.0,7.5
2019-03-16 03:00:05.471401,2.55,6.0,8.0,7.0,7.5
2019-03-16 04:00:05.951415,2.55,6.0,8.0,7.0,7.5
2019-03-16 05:00:05.209726,2.55,6.0,8.0,7.0,7.5
2019-03-16 06:00:06.828765,2.55,6.0,8.0,7.0,7.5
2019-03-16 07:00:05.428347,2.55,6.0,8.0,7.0,7.5
2019-03-16 08:00:05.910028,2.55,6.0,8.0,7.0,7.5
